Sample,Accession
Luciferase mRNA L10 with U,SRX7028669
Luciferase mRNA L10 with U,SRX7028670
Luciferase mRNA L10 with U,SRX7028671
Luciferase mRNA L11 with U,SRX7028672
Luciferase mRNA L11 with U,SRX7028673
Luciferase mRNA L11 with U,SRX7028674
Luciferase mRNA L12 with U,SRX7028675
Luciferase mRNA L12 with U,SRX7028676
Luciferase mRNA L12 with U,SRX7028677
Luciferase mRNA L13 with U,SRX7028678
Luciferase mRNA L13 with U,SRX7028679
Luciferase mRNA L13 with U,SRX7028680
Luciferase mRNA L14 with U,SRX7028681
Luciferase mRNA L14 with U,SRX7028682
Luciferase mRNA L14 with U,SRX7028683
Luciferase mRNA L15 with U,SRX7028684
Luciferase mRNA L15 with U,SRX7028685
Luciferase mRNA L15 with U,SRX7028686
Luciferase mRNA L16 with U,SRX7028687
Luciferase mRNA L16 with U,SRX7028688
Luciferase mRNA L16 with U,SRX7028689
Luciferase mRNA L17 with U,SRX7028690
Luciferase mRNA L17 with U,SRX7028691
Luciferase mRNA L17 with U,SRX7028692
Luciferase mRNA L18 with U,SRX7028693
Luciferase mRNA L18 with U,SRX7028694
Luciferase mRNA L18 with U,SRX7028695
Luciferase mRNA L19 with U,SRX7028696
Luciferase mRNA L19 with U,SRX7028697
Luciferase mRNA L19 with U,SRX7028698
Luciferase mRNA L1 with U,SRX7028699
Luciferase mRNA L1 with U,SRX7028700
Luciferase mRNA L1 with U,SRX7028701
Luciferase mRNA L20 with U,SRX7028702
Luciferase mRNA L20 with U,SRX7028703
Luciferase mRNA L20 with U,SRX7028704
Luciferase mRNA L21 with U,SRX7028705
Luciferase mRNA L21 with U,SRX7028706
Luciferase mRNA L21 with U,SRX7028707
Luciferase mRNA L22 with U,SRX7028708
Luciferase mRNA L22 with U,SRX7028709
Luciferase mRNA L22 with U,SRX7028710
Luciferase mRNA L23 with U,SRX7028711
Luciferase mRNA L23 with U,SRX7028712
Luciferase mRNA L23 with U,SRX7028713
Luciferase mRNA L24 with U,SRX7028714
Luciferase mRNA L24 with U,SRX7028715
Luciferase mRNA L24 with U,SRX7028716
Luciferase mRNA L25 with U,SRX7028717
Luciferase mRNA L25 with U,SRX7028718
Luciferase mRNA L25 with U,SRX7028719
Luciferase mRNA L26 with U,SRX7028720
Luciferase mRNA L26 with U,SRX7028721
Luciferase mRNA L26 with U,SRX7028722
Luciferase mRNA L27 with U,SRX7028723
Luciferase mRNA L27 with U,SRX7028724
Luciferase mRNA L27 with U,SRX7028725
Luciferase mRNA L28 with U,SRX7028726
Luciferase mRNA L28 with U,SRX7028727
Luciferase mRNA L28 with U,SRX7028728
Luciferase mRNA L29 with U,SRX7028729
Luciferase mRNA L29 with U,SRX7028730
Luciferase mRNA L29 with U,SRX7028731
Luciferase mRNA L2 with U,SRX7028732
Luciferase mRNA L2 with U,SRX7028765
Luciferase mRNA L2 with U,SRX7028766
Luciferase mRNA L30 with U,SRX7028767
Luciferase mRNA L30 with U,SRX7028768
Luciferase mRNA L30 with U,SRX7028769
Luciferase mRNA L31 with U,SRX7028770
Luciferase mRNA L31 with U,SRX7028771
Luciferase mRNA L31 with U,SRX7028772
Luciferase mRNA L32 with U,SRX7028773
Luciferase mRNA L32 with U,SRX7028774
Luciferase mRNA L32 with U,SRX7028775
Luciferase mRNA L33 with U,SRX7028776
Luciferase mRNA L33 with U,SRX7028777
Luciferase mRNA L33 with U,SRX7028778
Luciferase mRNA L34 with U,SRX7028779
Luciferase mRNA L34 with U,SRX7028780
Luciferase mRNA L34 with U,SRX7028781
Luciferase mRNA L35 with U,SRX7028782
